x, n0
0, 0
1, 0
2, 0
3, 0
4, 1
5, 1
6, 1
7, 1
8, 2
9, 3
10, 2
11, 2
12, 3
13, 4
14, 5
15, 3
16, 4
17, 5
18, 6
19, 7
20, 5
21, 6
22, 7
23, 8
24, 10
25, 6
26, 6
27, 6
28, 7
29, 8
30, 7
31, 7
32, 8
33, 9
34, 10
35, 8
36, 9
37, 10
38, 11
39, 12
40, 10
41, 11
42, 12
43, 13
44, 15
45, 21
46, 22
47, 23
48, 24
49, 26
50, 12
51, 12
52, 13
53, 14
54, 15
55, 13
56, 14
57, 15
58, 16
59, 17
60, 15
61, 16
62, 17
63, 18
64, 20
65, 26
66, 27
67, 28
68, 29
69, 31
70, 36
71, 36
72, 38
73, 40
74, 42
75, 18
76, 19
77, 20
78, 21
79, 22
80, 20
81, 21
82, 22
83, 23
84, 25
85, 31
86, 32
87, 33
88, 34
89, 36
90, 41
91, 41
92, 43
93, 45
94, 47
95, 46
96, 48
97, 50
98, 56
99, 56
100, 25
101, 26
102, 27
103, 28
104, 30
105, 36
106, 37
107, 38
108, 39
109, 41
110, 42
111, 43
112, 44
113, 46
114, 52
115, 51
116, 53
117, 55
118, 57
119, 63
120, 58
121, 60
122, 62
123, 68
124, 75
125, 31
126, 31
127, 31
128, 32
129, 33
130, 32
131, 32
132, 33
133, 34
134, 35
135, 33
136, 34
137, 35
138, 36
139, 37
140, 35
141, 36
142, 37
143, 38
144, 40
145, 46
146, 47
147, 48
148, 49
149, 51
150, 37
151, 37
152, 38
153, 39
154, 40
155, 38
156, 39
157, 40
158, 41
159, 42
160, 40
161, 41
162, 42
163, 43
164, 45
165, 51
166, 52
167, 53
168, 54
169, 56
170, 61
171, 61
172, 63
173, 65
174, 67
175, 43
176, 44
177, 45
178, 46
179, 47
180, 45
181, 46
182, 47
183, 48
184, 50
185, 56
186, 57
187, 58
188, 59
189, 61
190, 66
191, 66
192, 68
193, 70
194, 72
195, 71
196, 73
197, 75
198, 81
199, 81
200, 50
201, 51
202, 52
203, 53
204, 55
205, 61
206, 62
207, 63
208, 64
209, 66
210, 67
211, 68
212, 69
213, 71
214, 77
215, 76
216, 78
217, 80
218, 82
219, 88
220, 83
221, 85
222, 87
223, 93
224, 100
225, -1
226, -1
227, -1
228, -1
229, -1
230, -1
231, -1
232, -1
233, -1
234, -1
235, -1
236, -1
237, -1
238, -1
239, -1
240, -1
241, -1
242, -1
243, -1
244, -1
245, -1
246, -1
247, -1
248, -1
249, -1
250, 62
251, 62
252, 63
253, 64
254, 65
255, 63
256, 64
257, 65
258, 66
259, 67
260, 65
261, 66
262, 67
263, 68
264, 70
265, 76
266, 77
267, 78
268, 79
269, 81
270, 86
271, 86
272, 88
273, 90
274, 92
275, 68
276, 69
277, 70
278, 71
279, 72
280, 70
281, 71
282, 72
283, 73
284, 75
285, 81
286, 82
287, 83
288, 84
289, 86
290, 91
291, 91
292, 93
293, 95
294, 97
295, 96
296, 98
297, 100
298, -1
299, -1
300, 75
301, 76
302, 77
303, 78
304, 80
305, 86
306, 87
307, 88
308, 89
309, 91
310, 92
311, 93
312, 94
313, 96
314, -1
315, -1
316, -1
317, -1
318, -1
319, -1
320, -1
321, -1
322, -1
323, -1
324, -1
325, -1
326, -1
327, -1
328, -1
329, -1
330, -1
331, -1
332, -1
333, -1
334, -1
335, -1
336, -1
337, -1
338, -1
339, -1
340, -1
341, -1
342, -1
343, -1
344, -1
345, -1
346, -1
347, -1
348, -1
349, -1
350, -1
351, -1
352, -1
353, -1
354, -1
355, -1
356, -1
357, -1
358, -1
359, -1
360, -1
361, -1
362, -1
363, -1
364, -1
365, -1
366, -1
367, -1
368, -1
369, -1
370, -1
371, -1
372, -1
373, -1
374, -1
375, 93
376, 94
377, 95
378, 96
379, 97
380, 95
381, 96
382, 97
383, 98
384, 100
385, -1
386, -1
387, -1
388, -1
389, -1
390, -1
391, -1
392, -1
393, -1
394, -1
395, -1
396, -1
397, -1
398, -1
399, -1
400, 100
401, -1
402, -1
403, -1
404, None
